UMAP1,UMAP2,label
12.232071,3.1129751,intron
9.7095,3.9123175,intron
9.518209,4.01347,intron
9.768947,5.0303745,intron
9.748708,5.3316216,intron
9.456919,4.920276,intron
6.820307,3.4032426,intron
6.778947,3.7192395,intron
6.813977,3.7478564,intron
6.862802,4.0609345,intron
6.680871,3.9210606,intron
6.8122106,3.8089051,intron
6.643451,5.2065296,intron
6.517945,5.061244,intron
9.813986,5.3928576,intron
9.745336,5.36763,intron
9.490292,4.7708898,intron
6.1959815,2.5132596,intron
4.076053,2.9826891,intron
4.08011,2.9461737,intron
3.5327244,4.679339,intron
3.5749862,5.034906,intron
5.645359,1.7604682,intron
5.862274,1.8082457,intron
9.252204,-1.4749131,intergenic
9.506495,-1.3857986,intergenic
9.627363,-1.4316802,intergenic
9.349864,-1.5406774,intergenic
8.628018,-2.0747318,intergenic
9.593546,-1.4092109,intergenic
9.4098425,-1.289251,intergenic
9.362281,-0.9687583,intergenic
9.598413,-0.4033167,intergenic
10.311508,0.5546865,intergenic
10.660387,0.73827523,intergenic
10.706621,0.65859354,intergenic
10.616975,0.53319967,intergenic
10.480332,0.18977004,intergenic
9.961306,-1.3372698,intergenic
9.797759,-1.2870407,intergenic
9.863707,-1.0462648,intergenic
9.707999,-0.9073737,intergenic
9.728778,-1.0638669,intergenic
9.808413,-0.7150299,intergenic
9.7381315,-0.7790426,intergenic
9.648664,-0.6123777,intergenic
9.538941,-0.34327576,intergenic
9.540123,-0.31561136,intergenic
9.509878,-0.24439949,intergenic
9.157604,0.020771496,intergenic
9.012682,1.0301853,intergenic
9.256018,2.680391,intergenic
10.113776,3.1904476,intergenic
10.4403305,3.4885583,intergenic
10.911152,3.1994727,intergenic
11.252128,2.874816,intergenic
9.04496,3.3747609,intergenic
8.983087,2.9831684,intergenic
8.539017,2.3841162,intergenic
8.583814,2.140451,intergenic
8.728822,2.116885,intergenic
9.725193,2.1361876,intergenic
10.26983,2.3740408,intergenic
10.538537,2.3752537,intergenic
13.2123165,2.1151502,intergenic
12.8463955,2.118819,intergenic
12.69737,2.3356984,intergenic
10.241276,3.4340386,intergenic
10.744784,3.3216748,intergenic
10.229702,3.1329374,intergenic
9.760185,3.1200573,intergenic
11.621309,2.895464,intergenic
11.791631,2.7543309,intergenic
12.288801,3.0084054,intergenic
12.452588,3.224248,intergenic
12.633297,3.3132176,intergenic
12.5380535,3.4916708,intergenic
12.606147,3.542597,intergenic
12.015745,3.421216,intergenic
10.309669,4.7397614,intergenic
8.781573,3.849555,intergenic
8.987143,3.7063332,intergenic
7.7643332,5.001671,intergenic
9.329508,4.4463825,intergenic
9.305209,4.2469673,intergenic
7.621798,4.723265,intergenic
8.283183,4.0964327,intergenic
7.536333,4.131154,intergenic
7.416673,3.9895284,intergenic
7.2778172,3.5674927,intergenic
6.9604945,2.2916722,intergenic
3.6230536,4.3326273,intergenic
3.3795316,4.8968697,intergenic
3.4705696,4.091067,intergenic
3.3446722,4.128271,intergenic
2.9287262,4.4655643,intergenic
3.3490999,4.9291263,intergenic
3.3175523,4.978759,intergenic
3.0657415,3.8037817,intergenic
4.1643987,1.1385113,intergenic
4.0461445,-0.48775417,intergenic
4.1294427,0.50423574,intergenic
4.46143,0.6869152,intergenic
4.562426,1.1501377,intergenic
3.6338453,5.3031535,intergenic
3.6083047,5.338802,intergenic
3.6736887,5.170005,intergenic
4.428963,0.61507285,intergenic
4.1551647,0.4363687,intergenic
3.3613193,-0.21549682,intergenic
3.1167808,-0.3013077,intergenic
3.0986032,-0.5123397,intergenic
3.1891575,-0.42254522,intergenic
2.6437428,-0.61394876,intergenic
2.7391937,-0.5546897,intergenic
2.963094,-0.45382136,intergenic
2.4529502,-0.50593257,intergenic
2.4843419,-0.58900625,intergenic
2.1523771,-0.64737034,intergenic
3.1851184,-0.21333568,intergenic
4.033193,0.39565736,intergenic
3.9849632,0.53376275,intergenic
3.5525804,5.1749916,intergenic
4.355275,0.65257365,intergenic
4.2500253,0.51395845,intergenic
4.1947618,0.47579136,intergenic
3.457662,-0.07232851,intergenic
3.8765945,0.28980127,intergenic
4.134265,0.45477736,intergenic
4.0048046,0.3916784,intergenic
4.1026897,0.480026,intergenic
4.0866594,0.5609176,intergenic
3.3061209,5.038229,intergenic
3.2570646,4.923815,intergenic
2.9301205,-0.21226028,intergenic
2.4301558,-0.618836,intergenic
2.1726217,-0.57498735,intergenic
2.3308628,-0.57532233,intergenic
2.2029228,-0.6087445,intergenic
2.6299787,-0.44810736,intergenic
3.5791233,0.585721,intergenic
3.1704843,1.8659896,intergenic
3.1240654,1.1062546,intergenic
2.3781912,-0.41481817,intergenic
2.1700308,-0.55046,intergenic
2.034667,-0.6163156,intergenic
2.0205617,-0.7016,intergenic
2.0309446,-0.7608074,intergenic
2.0536318,-0.82717973,intergenic
1.9604982,-0.80275524,intergenic
2.056776,-0.82225823,intergenic
